,Final,Quiz,WA
0,77.0,77.27272,95.16133
1,86.0,90.45454,95.33333
2,91.0,75.90909,72.04799
3,104.0,54.54545,79.34222
4,73.0,80.90909,92.58722
5,79.0,72.72727,91.0
6,81.0,71.81818,92.58666
7,76.0,89.54545,99.336
8,69.0,65.45454,58.08888
9,99.0,92.72727,100.0
10,77.0,77.27272,97.38461
11,108.0,98.18181,99.61166
12,95.0,91.36363,92.75555
13,68.0,83.63636,95.75333
14,62.0,81.81818,70.24046
15,102.0,96.81818,96.5
16,91.0,94.54545,99.681
17,99.0,97.72727,100.0
18,104.0,97.27272,96.5
19,99.0,96.36363,99.945
20,96.0,98.18181,100.0
21,65.0,80.45454,99.66666
22,78.0,77.72727,99.02564
23,75.0,90.90909,96.181
24,58.0,62.72727,88.81549
25,97.0,85.45454,89.01741
26,93.0,91.81818,98.77333
27,104.0,95.90909,100.0
28,75.0,70.90909,72.63045
29,92.0,94.54545,99.66666
30,84.0,82.72727,93.70786
31,73.0,89.0909,98.0
32,100.0,90.90909,71.33333
33,71.0,81.81818,93.58833
34,104.0,90.90909,96.53333
35,87.0,88.63636,100.0
36,31.0,79.54545,96.97809
37,99.0,97.27272,93.98231
38,103.0,91.81818,99.0
39,102.0,85.0,99.66666
40,103.0,93.63636,99.35897
41,101.0,83.63636,85.6911
42,101.0,86.36363,92.44686
43,81.0,79.0909,87.1
44,85.0,67.27272,87.6499
45,69.0,62.72727,86.54945
46,80.0,80.90909,22.71621
47,100.0,96.36363,89.37266
48,90.0,93.18181,98.5
49,0.0,46.36363,66.74475
50,80.0,94.54545,85.0069
51,101.0,88.18181,99.0
52,101.0,98.18181,100.0
53,71.0,81.36363,93.87466
54,101.0,96.81818,98.86666
55,89.0,93.18181,99.6
56,104.0,97.27272,98.545
57,102.0,60.45454,83.54038
58,50.0,63.63636,96.0
59,73.0,54.54545,70.69497
60,73.0,80.45454,54.71575
61,94.0,77.27272,98.9688
62,104.0,89.0909,85.76857
63,87.0,30.45454,88.7318
64,99.0,94.0909,97.65712
65,80.0,77.72727,92.06933
66,40.0,65.45454,58.82746
67,75.0,81.36363,94.61689
